,age,education,balance,duration,campaign,previous,y,Marital_single,Default_yes,Housing_yes,Loan_yes,Contact_telephone
0,58.0,3.0,2143.0,261.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,44.0,2.0,29.0,151.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2,33.0,2.0,2.0,76.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3,47.0,2.0,1506.0,92.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,33.0,2.0,1.0,198.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,35.0,3.0,231.0,139.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,28.0,3.0,447.0,217.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
7,42.0,3.0,2.0,380.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
8,58.0,1.0,121.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,43.0,2.0,593.0,55.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
10,41.0,2.0,270.0,222.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
11,29.0,2.0,390.0,137.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
12,53.0,2.0,6.0,517.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,58.0,2.0,71.0,71.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
14,57.0,2.0,162.0,174.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
15,51.0,1.0,229.0,353.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,45.0,3.0,13.0,98.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
17,57.0,1.0,52.0,38.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,60.0,1.0,60.0,219.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19,33.0,2.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,28.0,2.0,723.0,262.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
21,56.0,3.0,779.0,164.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22,32.0,1.0,23.0,160.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
23,25.0,2.0,50.0,342.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
24,40.0,1.0,0.0,181.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
25,44.0,2.0,-372.0,172.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
26,39.0,3.0,255.0,296.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
27,52.0,2.0,113.0,127.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
28,46.0,2.0,-246.0,255.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
29,36.0,2.0,265.0,348.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
30,57.0,2.0,839.0,225.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31,49.0,3.0,378.0,230.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32,60.0,2.0,39.0,208.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
33,59.0,2.0,0.0,226.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
34,51.0,3.0,10635.0,336.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
35,57.0,2.0,63.0,242.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
36,25.0,2.0,-7.0,365.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
37,53.0,2.0,-3.0,1666.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,36.0,2.0,506.0,577.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
39,37.0,2.0,0.0,137.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
40,44.0,2.0,2586.0,160.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
41,50.0,2.0,49.0,180.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
42,60.0,2.0,104.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
43,54.0,2.0,529.0,1492.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
44,58.0,2.0,96.0,616.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
45,36.0,1.0,-171.0,242.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
46,58.0,3.0,-364.0,355.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
47,44.0,2.0,0.0,225.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
48,55.0,2.0,0.0,160.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
49,29.0,3.0,0.0,363.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
50,54.0,2.0,1291.0,266.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
51,48.0,3.0,-244.0,253.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
52,32.0,3.0,0.0,179.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
53,42.0,2.0,-76.0,787.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
54,24.0,2.0,-103.0,145.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
55,38.0,3.0,243.0,174.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
56,38.0,3.0,424.0,104.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
57,47.0,2.0,306.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
58,40.0,2.0,24.0,185.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
59,46.0,1.0,179.0,1778.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60,32.0,3.0,0.0,138.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
61,53.0,2.0,989.0,812.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
62,57.0,1.0,249.0,164.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
63,33.0,2.0,790.0,391.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
64,49.0,2.0,154.0,357.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
65,51.0,3.0,6530.0,91.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
66,60.0,3.0,100.0,528.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,59.0,3.0,59.0,273.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
68,55.0,2.0,1205.0,158.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
69,35.0,2.0,12223.0,177.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
70,57.0,2.0,5935.0,258.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
71,31.0,2.0,25.0,172.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
72,54.0,2.0,282.0,154.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
73,55.0,1.0,23.0,291.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
74,43.0,2.0,1937.0,181.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
75,53.0,2.0,384.0,176.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
76,44.0,2.0,582.0,211.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
77,55.0,2.0,91.0,349.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
78,49.0,2.0,0.0,272.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
79,55.0,2.0,1.0,208.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
80,45.0,2.0,206.0,193.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
81,47.0,2.0,164.0,212.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
82,42.0,2.0,690.0,20.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
83,59.0,2.0,2343.0,1042.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
84,46.0,3.0,137.0,246.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
85,51.0,1.0,173.0,529.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
86,56.0,2.0,45.0,1467.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
87,41.0,2.0,1270.0,1389.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
88,46.0,2.0,16.0,188.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
89,57.0,2.0,486.0,180.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
90,42.0,2.0,50.0,48.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
91,30.0,2.0,152.0,213.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
92,60.0,2.0,290.0,583.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
93,60.0,1.0,54.0,221.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
94,57.0,2.0,-37.0,173.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
95,36.0,3.0,101.0,426.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
96,55.0,2.0,383.0,287.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,60.0,3.0,81.0,101.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
98,39.0,2.0,0.0,203.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
99,46.0,3.0,229.0,197.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
100,44.0,2.0,-674.0,257.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
101,53.0,1.0,90.0,124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,52.0,1.0,128.0,229.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
103,59.0,1.0,179.0,55.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
104,27.0,3.0,0.0,400.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
105,44.0,2.0,54.0,197.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
106,47.0,3.0,151.0,190.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
107,34.0,2.0,61.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
108,59.0,2.0,30.0,514.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
109,45.0,3.0,523.0,849.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
110,29.0,2.0,31.0,194.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
111,46.0,2.0,79.0,144.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
112,56.0,1.0,-34.0,212.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
113,36.0,1.0,448.0,286.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
114,59.0,1.0,81.0,107.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
115,44.0,2.0,144.0,247.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
116,41.0,2.0,351.0,518.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
117,33.0,3.0,-67.0,364.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
118,59.0,3.0,262.0,178.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
119,57.0,1.0,0.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120,56.0,2.0,56.0,439.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
121,51.0,2.0,26.0,79.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
122,34.0,2.0,3.0,120.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
123,43.0,2.0,41.0,127.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
124,52.0,3.0,7.0,175.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
125,33.0,2.0,105.0,262.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
126,29.0,2.0,818.0,61.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
127,34.0,2.0,-16.0,78.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
128,31.0,2.0,0.0,143.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
129,55.0,2.0,2476.0,579.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
130,55.0,2.0,1185.0,677.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,32.0,2.0,217.0,345.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
132,38.0,2.0,1685.0,185.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
133,55.0,2.0,802.0,100.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
134,28.0,3.0,0.0,125.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
135,23.0,2.0,94.0,193.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
136,32.0,2.0,0.0,136.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
137,43.0,2.0,0.0,73.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
138,32.0,2.0,517.0,528.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
139,46.0,2.0,265.0,541.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
140,53.0,1.0,947.0,163.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
141,34.0,2.0,3.0,301.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
142,57.0,3.0,42.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143,37.0,2.0,37.0,204.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
144,59.0,2.0,57.0,98.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
145,33.0,2.0,22.0,71.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
146,56.0,1.0,8.0,157.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
147,48.0,2.0,293.0,243.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
148,43.0,1.0,3.0,186.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
149,54.0,1.0,348.0,579.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
150,51.0,2.0,-19.0,163.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
